category,subcategory,artwork_number,title,dimensions,date,edition,technique,exhibition_locations,represented_in_public_collections,local_image_path,original_image_url,source_page
Prints,1996-2001,141,Palmroots Searching for Water,900 x 630 mm,1997,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/141_(K)_Palmroots_Searching_for_Water_1997_.br.900x630_mm_406d491a203.jpg,http://agathesorel.co.uk/Prints/141_(K)_Palmroots_Searching_for_Water_1997_.br.900x630_mm_406d491a203.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,142,Cheers,780 x 600 mm,1998,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/142_Cheers_1998_.br.780x600_mm_406d491c204.jpg,http://agathesorel.co.uk/Prints/142_Cheers_1998_.br.780x600_mm_406d491c204.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,143,"Getting High, (kite made of orange peel, wire & rubber band)",,1996,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)","assets/images/prints/143_Getting_High,(kite_made_of_orange_peel,_wire_&_rubber_ba406d491f205.jpg","http://agathesorel.co.uk/Prints/143_Getting_High,(kite_made_of_orange_peel,_wire_&_rubber_ba406d491f205.jpg",http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,144,Twiggy - Face,900 x 630 mm,1998,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/144_Twiggy_-_Face_1998_.br.900x630_mm_406d4922206.jpg,http://agathesorel.co.uk/Prints/144_Twiggy_-_Face_1998_.br.900x630_mm_406d4922206.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,145,Twiggy - Nude,780 x 600 mm,1998,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/145_Twiggy_-_Nude_1998_.br.780x600_mm_406d4924207.jpg,http://agathesorel.co.uk/Prints/145_Twiggy_-_Nude_1998_.br.780x600_mm_406d4924207.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,146,Nunhead Cemetery,900 x 630 mm,1998,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/146_Nunhead_Cemetery_1998_.br.900x630_mm_406d4927208.jpg,http://agathesorel.co.uk/Prints/146_Nunhead_Cemetery_1998_.br.900x630_mm_406d4927208.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,147,The Collector,780 x 600 mm,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/147_The_Collector_2000_.br.780x600_mm_406d4929209.jpg,http://agathesorel.co.uk/Prints/147_The_Collector_2000_.br.780x600_mm_406d4929209.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,148,Figs and Old Rope,600 x 800 mm,1999,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/148__Figs_and_Old_Rope_1999_.br.600x800_mm_406d492c210.jpg,http://agathesorel.co.uk/Prints/148__Figs_and_Old_Rope_1999_.br.600x800_mm_406d492c210.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,149,Sheets Drying (Washday),600 x 780 mm,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/149_Sheets_Drying_(Washday)_2000_.br.600x780_mm_406d492e211.jpg,http://agathesorel.co.uk/Prints/149_Sheets_Drying_(Washday)_2000_.br.600x780_mm_406d492e211.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,150,Mantegna's Kitche (Washday),780 x 600 mm,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/150_(K)_Mantegna's_Kitche_(Washday)_2000_.br.780x600_mm_406d4930212.jpg,http://agathesorel.co.uk/Prints/150_(K)_Mantegna's_Kitche_(Washday)_2000_.br.780x600_mm_406d4930212.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,151,Annunciation (Washday),780 x 600 mm,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/151_Annunciation_(Washday)_2000_.br.780x600_mm_406d4933213.jpg,http://agathesorel.co.uk/Prints/151_Annunciation_(Washday)_2000_.br.780x600_mm_406d4933213.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,152,Sheets & Hay (Washday),780 x 600 mm,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/152_Sheets_&_Hay_(Washday)_2000_.br.780x600_mm_406d4935214.jpg,http://agathesorel.co.uk/Prints/152_Sheets_&_Hay_(Washday)_2000_.br.780x600_mm_406d4935214.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,153,Sheets with Flowers & Basket (Washday),,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/153_(K)_Sheets_with_Flowers_&_Basket_(Washday)_2000_.br.630x406d4937215.jpg,http://agathesorel.co.uk/Prints/153_(K)_Sheets_with_Flowers_&_Basket_(Washday)_2000_.br.630x406d4937215.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,154,Sheet & cooking pot (Washday),780 x 600 mm,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/154__Sheet_&_cooking_pot_(Washday)_2000_.br.780x600_mm_406d4939216.jpg,http://agathesorel.co.uk/Prints/154__Sheet_&_cooking_pot_(Washday)_2000_.br.780x600_mm_406d4939216.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,155,Fishwife (Washday),900 x 600 mm,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/155_Fishwife_(Washday)_2000_.br.900x600_mm_406d493b217.jpg,http://agathesorel.co.uk/Prints/155_Fishwife_(Washday)_2000_.br.900x600_mm_406d493b217.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,156,Sheet sculpture (Washday),900 x 600 mm,2000,,Sculpture,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/156_Sheet_sculpture_(Washday)_2000_.br.900x600_mm_406d4948218.jpg,http://agathesorel.co.uk/Prints/156_Sheet_sculpture_(Washday)_2000_.br.900x600_mm_406d4948218.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,157,Dawn (Helios),,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/157_Dawn_(Helios)_2000_406d494b219.jpg,http://agathesorel.co.uk/Prints/157_Dawn_(Helios)_2000_406d494b219.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
Prints,1996-2001,158,Morning (Helios),,2000,,Print,Not specified,"Yes (Tate, British Museum, Victoria & Albert Museum, etc.)",assets/images/prints/158_Morning_(Helios)_2000_406d494d220.jpg,http://agathesorel.co.uk/Prints/158_Morning_(Helios)_2000_406d494d220.jpg,http://agathesorel.co.uk/Prints/_prints_1996-2001.htm
