site_index,title,match,field,old,new
224,The Dead and the Living (from triptych),exact,technique_detail,,"Computer generated photo etching & woodcut, printed in black, raw umber & green"
225,Titania (from triptych),exact,technique_detail,,"Computer generated etching, line engraving & aquatint, printed in black, grey, red, green & blue"
225,Titania (from triptych),exact,dimensions,800 x 600 mm,780 x 600 mm
226,Swansong (from-triptych),exact,technique_detail,,"Line engraving & aquatint with plastic cut-outs, printed in brown-red, grey, magenta & yellow"
228,The Venus Flytrap,exact,technique_detail,,"Digital montage & woodcut, printed in black, blue, red green, orange & yellow"
229,Madame Guillotine (Deptford Market),exact,technique_detail,,"Digital montage & woodcut & Litho, printed in black, brown, purple & light green"
230,Stallholders (Deptford Market),exact,technique_detail,,"Digital montage with litho, aquatint & woodcut, printed in black, green, yellow, orange, blue & brown"
230,Stallholders (Deptford Market),exact,dimensions,600 x 780 mm,780 x 600 mm
231,Market Vendor (Deptford Market),exact,technique_detail,,"Digital litho, aquatint & woodcut, printed in black, red, blue, yellow & lilac"
232,Pile them High and Sell them Cheep (Deptford Market),exact,technique_detail,,"Digital montage, printed in black vignette"
232,Pile them High and Sell them Cheep (Deptford Market),exact,date,1976,1996
232,Pile them High and Sell them Cheep (Deptford Market),exact,dimensions,,780 x 600 mm
17,The Reincarnation of a Cactus,exact,technique_detail,,"Digital montage, printed in black. vignette"
17,The Reincarnation of a Cactus,exact,date,1996,1997
18,The Ghost of el Greco with poem (Catalana Blanca),exact,technique_detail,,"Digital montage, printed in black vignette"
19,The Ghost of el Greco (Catalana Blanca),exact,technique_detail,,"Digital montage, printed in black. vignette"
19,The Ghost of el Greco (Catalana Blanca),exact,dimensions,,780 x 600 mm
20,Catalana Blanca (Catalana Blanca),exact,technique_detail,,"Digital montage, printed in black. vignette"
21,Nijinsky (Catalana Blanca),exact,technique_detail,,"Digital montage, printed in black. vignette"
22,Metamorphosis (Catalana Blanca),exact,technique_detail,,"Photo etching, aquatint & plastic engraving, printed in black grey, red & green"
23,Monument to a Housewife,exact,technique_detail,,"Digital montage, printed in black Vignette"
24,Still life with Beans,exact,technique_detail,,Digital litho and watercolour
25,From Van Gogh to Einstein,exact,technique_detail,,"Digital montage with litho, aquatint & woodcut, Vignette (Several sizes)"
26,The bowels of the earth,exact,technique_detail,,Digital litho & aquatint. Vignette
26,The bowels of the earth,exact,dimensions,780 x 600 mm,600 x 780 mm
27,Palmroots Searching for Water,exact,technique_detail,,Digital montage & plastic engraving
8,In the Patio,exact,technique_detail,,Digital print and woodcut
8,In the Patio,exact,date,2011,1997
29,"Getting High, (kite made of orange peel, wire & rubber band)",exact,technique_detail,,Digital montage. vignette
29,"Getting High, (kite made of orange peel, wire & rubber band)",exact,date,1996,1998
30,Twiggy - Face,exact,technique_detail,,Digital montage. vignette
30,Twiggy - Face,exact,dimensions,900 x 630 mm,900 x 680 mm
31,Twiggy - Nude,exact,technique_detail,,Digital montage printed in black vignette
32,Nunhead Cemetery,exact,technique_detail,,"Digital montage, plastic engraving & woodcut, printed in black, brown, red, green & yellow vignette"
33,The Collector,exact,technique_detail,,Etching and surface print
34,Figs and Old Rope,exact,technique_detail,,Digital montage and wood cut
34,Figs and Old Rope,exact,dimensions,600 x 800 mm,760 x 560 mm
35,Sheets Drying (Washday),exact,technique_detail,,Digital montage printed in black. vignette
36,Mantegna's Kitche (Washday),exact,technique_detail,,Digital montage printed in black. vignette
37,Annunciation (Washday),exact,technique_detail,,Digital montage. vignette
38,Sheets & Hay (Washday),exact,technique_detail,,Digital montage. vignette
39,Sheets with Flowers & Basket (Washday),exact,technique_detail,,Digital montage. Vignette
39,Sheets with Flowers & Basket (Washday),exact,dimensions,,630 x 900 mm
40,Sheet & cooking pot (Washday),exact,technique_detail,,Digital montage. Vignette
41,Fishwife (Washday),exact,technique_detail,,Digital montage. Vignette
