site_index,category,subcategory,title,date,dimensions
422,Watercolours & Collages,India small,The Mud House with rooftiles Kujarajo,,500 x 650 mm
424,Watercolours & Collages,India small,The Elephant Gate Jaipur,,660 x 480 mm
425,Watercolours & Collages,India small,Pushkar lake,,510 x 390 mm
426,Watercolours & Collages,Lanzarote,01 The Green Godess,1976,200 x 280 mm
428,Watercolours & Collages,Lanzarote,03 Old House with Sunken Garden,1984,440 x 560 mm
429,Watercolours & Collages,Lanzarote,04 The Dream Cyclist,1985,420 x 590 mm
430,Watercolours & Collages,Lanzarote,05 Yellow Dogs,1985,450 x 590 mm
432,Watercolours & Collages,Lanzarote,07 Girls from Famara,1987,310 x 480 mm
433,Watercolours & Collages,Lanzarote,08 Arcadia,1987,430 x 590 mm
434,Watercolours & Collages,Lanzarote,09 Red Hill Red Girl,1987,440 x 560 mm
436,Watercolours & Collages,Lanzarote,11 Bird Soaring from Red Ash,1988,450 x 560 mm
437,Watercolours & Collages,Lanzarote,12 Pumpkin and Sweet Potatoes,1986,440 x 560 mm
438,Watercolours & Collages,Lanzarote,13 Figs and Old Rope,1998,560 x 480 mm
441,Watercolours & Collages,Lanzarote,16 Escape from the lava flow,2001,450 x 620 mm
442,Watercolours & Collages,Lanzarote,17 Cockerel in the Patio,2002,470 x 600 mm
444,Watercolours & Collages,Lanzarote,19 Reflections in a Teacup,2004,460 x 620 mm
445,Watercolours & Collages,Lanzarote,20 Saffran drying,2003,470 x 600 mm
449,Watercolours & Collages,Lanzarote,24 The Ghost Tower,2003,450 x 600 mm
450,Watercolours & Collages,Lanzarote,25 Tomatoes drying,2000,470 x 630 mm
452,Watercolours & Collages,Lanzarote,27 Cactus flowers,2004,620 x 450 mm
453,Watercolours & Collages,Lanzarote,28 The Garden Centre,,428 x 565 mm
456,Watercolours & Collages,Lanzarote,31 Palm Enclosure,,650 x 450 mm
457,Watercolours & Collages,Lanzarote,32 Turkeys in the Rain,,460 x 450 mm
458,Watercolours & Collages,Lanzarote,33 Volcano with Figtree,2004,460 x 630 mm
463,Watercolours & Collages,Albert hall cirque du soliel,Acrobats descending,,620 x 460 mm
474,Watercolours & Collages,India large,Boats on the Ganges,,642 x 830 mm
476,Watercolours & Collages,India large,Dying the cloth,,860 x 1170 mm
477,Watercolours & Collages,India large,Fruitstall Aurangabad,,860 x 117 mm
486,Watercolours & Collages,India large,Young Artist India,,570 x 760 mm
489,Watercolours & Collages,India large,Mud House Kujarajo,,860 x 1170 mm
493,Watercolours & Collages,India large,The Water Wheel Rajastan,,1170 x 860 mm
497,Watercolours & Collages,Guess who is coming for dinner,01 Two chairs in disguise,2005,1063 x 1210 mm
498,Watercolours & Collages,Guess who is coming for dinner,02 Going round in Circles,2005,1225 x 2082 mm
499,Watercolours & Collages,Guess who is coming for dinner,03 2 tables+1chair,2004,1229 x 2000 mm
500,Watercolours & Collages,Guess who is coming for dinner,04,2004,1368 x 2016 mm
510,Watercolours & Collages,2011-2014,Cactus and Watering hose,2011,
511,Watercolours & Collages,2011-2014,Pink towel and branches,2012,380 x 500 mm
