inv_section,inv_no,inv_title,inv_year,inv_size_mm,inv_technique,site_index,site_category,site_subcategory,site_title,site_date,site_dimensions,site_dims_source,site_technique,match,match_score,date_check,dim_check,technique_check
Prints & Graphic Works (1959-2005),50,Pool on the 30th Floor,1966,780x600,"Line engraving, aquatint, drypoint & metal cut-out vignette. Printed in blue, grey, red,& ultramarine",120,Prints,1966-1976,Pool on the 30th Floor,1966,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),51,Three new Creatures,1966,600x780,"Deep bite, dry point, heat branded plastic, printed in blue, red, black, yellow, mauve & ochre",121,Prints,1966-1976,Three new Creatures,1966,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),52,Temple,1967,780x600,Etching and metal graphic,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),53,Diver and Dreamer,1976,800x600,"Deep bite, aquatint& plastic engraving, printed in purple-black, ochre, orange, & yellow vignette",122,Prints,1966-1976,Diver and Dreamer,1976,800 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),54,Jack boot,1976,800x600,Press metal collage,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),55,The Past A/P,1976,600x780,Plastic engraving heat branding and aquatint,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),56,Observed in High Spirits (K),1967,600x780,"Deep bite, aquatint, surface rolled brass cut out, printed in black, brown, yellow, red, green, & blue",123,Prints,1966-1976,Observed in High Spirits,1967,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),57,By the Drunken Photographer,1967,780x600,"Line engraving, aquatint & surface rolled brass cut out, printed in black, green & brown",124,Prints,1966-1976,By the Drunken Photographer,1967,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),58,Discarded Dreams,1967,600x780,"Line engraving, surface rolled brass cut out, printed in black, red, ochre, blue & green",125,Prints,1966-1976,Discarded Dreams,1967,600 x 780 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),59,Green People,1967,800x600,"Photo etching, deep bite & surface printed brass cut out. vignette",126,Prints,1966-1976,Green People,1967,800 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),60,Birds,1973,780x600,"Photo etched intaglio & plastic cut out, printed in blue-black, green, blue & yellow",127,Prints,1966-1976,Birds,1973,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),61,Six Months in the Air,1968,780x600,"Deep etched, engraved, aquatint brass cut out, printed in brown-black, red, yellow, pink & purple",128,Prints,1966-1976,Six Months in the Air,1968,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
Prints & Graphic Works (1959-2005),62,Moonshots,1968,780x600,Etching and brass cut out,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),63,Ribs and String,1969,,Stencil print with spray paint,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),64,Ideas for an architectural site,1968,,Drawing original,,,,,,,,,unmatched,,,,
Prints & Graphic Works (1959-2005),65,Balance,1971,780x600,"Line engraving, aquatint, dry point, brass cut out, printed in black, blue, yellow & green Vignette",129,Prints,1966-1976,Balance,1971,780 x 600 mm,field,Print,exact,1.00,ok,ok,site generic
